Expiry,Maturity,Strike,Vol
1,1460,-60,70.59
1,1460,-40,70.59
1,1460,-30,70.59
1,1460,-20,70.59
1,1460,-10,70.59
1,1460,0,70.59
1,1460,10,70.59
1,1460,20,70.59
1,1460,30,70.59
1,1460,40,70.59
1,1460,60,70.59
1,1460,80,70.59
1,1460,100,70.59
1,1460,150,70.59
1,1460,200,70.59
1,1460,250,70.59
1,1460,300,70.59
1,1460,350,70.59
1,1460,400,70.59
1,1460,450,70.59
1,1460,500,70.59
1,1460,550,70.59
1,1460,600,70.59
1,1460,650,70.59
1,1460,700,70.59
1,1460,750,70.59
1,1825,-350,70.93
1,1825,-300,70.93
1,1825,-250,70.93
1,1825,-200,70.93
1,1825,-150,70.93
1,1825,-100,70.93
1,1825,-80,70.93
1,1825,-60,70.93
1,1825,-40,70.93
1,1825,-30,70.93
1,1825,-20,70.93
1,1825,-10,70.93
1,1825,0,70.93
1,1825,10,70.93
1,1825,20,70.93
1,1825,30,70.93
1,1825,40,70.93
1,1825,60,70.93
1,1825,80,70.93
1,1825,100,70.93
1,1825,150,70.93
1,1825,200,70.93
1,1825,250,70.93
1,1825,300,70.93
1,1825,350,70.93
1,1825,400,70.93
1,1825,450,70.93
1,1825,500,70.93
1,1825,550,70.93
1,1825,600,70.93
1,1825,650,70.93
1,1825,700,70.93
1,1825,750,70.93
1,2190,-350,71.26
1,2190,-300,71.26
1,2190,-250,71.26
1,2190,-200,71.26
1,2190,-150,71.26
1,2190,-100,71.26
1,2190,-80,71.26
1,2190,-60,71.26
1,2190,-40,71.26
1,2190,-30,71.26
1,2190,-20,71.26
1,2190,-10,71.26
1,2190,0,71.26
1,2190,10,71.26
1,2190,20,71.26
1,2190,30,71.26
1,2190,40,71.26
1,2190,60,71.26
1,2190,80,71.26
1,2190,100,71.26
1,2190,150,71.26
1,2190,200,71.26
1,2190,250,71.26
1,2190,300,71.26
1,2190,350,71.26
1,2190,400,71.26
1,2190,450,71.26
1,2190,500,71.26
1,2190,550,71.26
1,2190,600,71.26
1,2190,650,71.26
1,2190,700,71.26
1,2190,750,71.26
1,2555,-350,71.58
1,2555,-300,71.58
1,2555,-250,71.58
1,2555,-200,71.58
1,2555,-150,71.58
1,2555,-100,71.58
1,2555,-80,71.58
1,2555,-60,71.58
1,2555,-40,71.58
1,2555,-30,71.58
1,2555,-20,71.58
1,2555,-10,71.58
1,2555,0,71.58
1,2555,10,71.58
1,2555,20,71.58
1,2555,30,71.58
1,2555,40,71.58
1,2555,60,71.58
1,2555,80,71.58
1,2555,100,71.58
1,2555,150,71.58
1,2555,200,71.58
1,2555,250,71.58
1,2555,300,71.58
1,2555,350,71.58
1,2555,400,71.58
1,2555,450,71.58
1,2555,500,71.58
1,2555,550,71.58
1,2555,600,71.58
1,2555,650,71.58
1,2555,700,71.58
1,2555,750,71.58
1,2920,-350,71.9
1,2920,-300,71.9
1,2920,-250,71.9
1,2920,-200,71.9
1,2920,-150,71.9
1,2920,-100,71.9
1,2920,-80,71.9
1,2920,-60,71.9
1,2920,-40,71.9
1,2920,-30,71.9
1,2920,-20,71.9
1,2920,-10,71.9
1,2920,0,71.9
1,2920,10,71.9
1,2920,20,71.9
1,2920,30,71.9
1,2920,40,71.9
1,2920,60,71.9
1,2920,80,71.9
1,2920,100,71.9
1,2920,150,71.9
1,2920,200,71.9
1,2920,250,71.9
1,2920,300,71.9
1,2920,350,71.9
1,2920,400,71.9
1,2920,450,71.9
1,2920,500,71.9
1,2920,550,71.9
1,2920,600,71.9
1,2920,650,71.9
1,2920,700,71.9
1,2920,750,71.9
1,3285,-350,72.26
1,3285,-300,72.26
1,3285,-250,72.26
1,3285,-200,72.26
1,3285,-150,72.26
1,3285,-100,72.26
1,3285,-80,72.26
1,3285,-60,72.26
1,3285,-40,72.26
1,3285,-30,72.26
1,3285,-20,72.26
1,3285,-10,72.26
1,3285,0,72.26
1,3285,10,72.26
1,3285,20,72.26
1,3285,30,72.26
1,3285,40,72.26
1,3285,60,72.26
1,3285,80,72.26
1,3285,100,72.26
1,3285,150,72.26
1,3285,200,72.26
1,3285,250,72.26
1,3285,300,72.26
1,3285,350,72.26
1,3285,400,72.26
1,3285,450,72.26
1,3285,500,72.26
1,3285,550,72.26
1,3285,600,72.26
1,3285,650,72.26
1,3285,700,72.26
1,3285,750,72.26
1,3650,-350,74.75
1,3650,-300,74.75
1,3650,-250,74.75
1,3650,-200,74.75
1,3650,-150,74.75
1,3650,-100,74.75
1,3650,-80,74.75
1,3650,-60,74.75
1,3650,-40,74.75
1,3650,-30,74.75
1,3650,-20,74.75
1,3650,-10,74.75
1,3650,0,74.75
1,3650,10,74.75
1,3650,20,74.75
1,3650,30,74.75
1,3650,40,74.75
1,3650,60,74.75
1,3650,80,74.75
1,3650,100,74.75
1,3650,150,74.75
1,3650,200,74.75
1,3650,250,74.75
1,3650,300,74.75
1,3650,350,74.75
1,3650,400,74.75
1,3650,450,74.75
1,3650,500,74.75
1,3650,550,74.75
1,3650,600,74.75
1,3650,650,74.75
1,3650,700,74.75
1,3650,750,74.75
1,4380,-400,69.08
1,4380,-350,69.08
1,4380,-300,69.08
1,4380,-250,69.08
1,4380,-200,69.08
1,4380,-150,69.08
1,4380,-100,69.08
1,4380,-80,69.08
1,4380,-60,69.08
1,4380,-40,69.08
1,4380,-30,69.08
1,4380,-20,69.08
1,4380,-10,69.08
1,4380,0,69.08
1,4380,10,69.08
1,4380,20,69.08
1,4380,30,69.08
1,4380,40,69.08
1,4380,60,69.08
1,4380,80,69.08
1,4380,100,69.08
1,4380,150,69.08
1,4380,200,69.08
1,4380,250,69.08
1,4380,300,69.08
1,4380,350,69.08
1,4380,400,69.08
1,4380,450,69.08
1,4380,500,69.08
1,4380,550,69.08
1,4380,600,69.08
1,4380,650,69.08
1,4380,700,69.08
1,4380,750,69.08
1,5475,-400,71.83
1,5475,-350,71.83
1,5475,-300,71.83
1,5475,-250,71.83
1,5475,-200,71.83
1,5475,-150,71.83
1,5475,-100,71.83
1,5475,-80,71.83
1,5475,-60,71.83
1,5475,-40,71.83
1,5475,-30,71.83
1,5475,-20,71.83
1,5475,-10,71.83
1,5475,0,71.83
1,5475,10,71.83
1,5475,20,71.83
1,5475,30,71.83
1,5475,40,71.83
1,5475,60,71.83
1,5475,80,71.83
1,5475,100,71.83
1,5475,150,71.83
1,5475,200,71.83
1,5475,250,71.83
1,5475,300,71.83
1,5475,350,71.83
1,5475,400,71.83
1,5475,450,71.83
1,5475,500,71.83
1,5475,550,71.83
1,5475,600,71.83
1,5475,650,71.83
1,5475,700,71.83
1,5475,750,71.83
1,7300,-400,67.27
1,7300,-350,67.27
1,7300,-300,67.27
1,7300,-250,67.27
1,7300,-200,67.27
1,7300,-150,67.27
1,7300,-100,67.27
1,7300,-80,67.27
1,7300,-60,67.27
1,7300,-40,67.27
1,7300,-30,67.27
1,7300,-20,67.27
1,7300,-10,67.27
1,7300,0,67.27
1,7300,10,67.27
1,7300,20,67.27
1,7300,30,67.27
1,7300,40,67.27
1,7300,60,67.27
1,7300,80,67.27
1,7300,100,67.27
1,7300,150,67.27
1,7300,200,67.27
1,7300,250,67.27
1,7300,300,67.27
1,7300,350,67.27
1,7300,400,67.27
1,7300,450,67.27
1,7300,500,67.27
1,7300,550,67.27
1,7300,600,67.27
1,7300,650,67.27
1,7300,700,67.27
1,7300,750,67.27
1,9125,-400,65.69
1,9125,-350,65.69
1,9125,-300,65.69
1,9125,-250,65.69
1,9125,-200,65.69
1,9125,-150,65.69
1,9125,-100,65.69
1,9125,-80,65.69
1,9125,-60,65.69
1,9125,-40,65.69
1,9125,-30,65.69
1,9125,-20,65.69
1,9125,-10,65.69
1,9125,0,65.69
1,9125,10,65.69
1,9125,20,65.69
1,9125,30,65.69
1,9125,40,65.69
1,9125,60,65.69
1,9125,80,65.69
1,9125,100,65.69
1,9125,150,65.69
1,9125,200,65.69
1,9125,250,65.69
1,9125,300,65.69
1,9125,350,65.69
1,9125,400,65.69
1,9125,450,65.69
1,9125,500,65.69
1,9125,550,65.69
1,9125,600,65.69
1,9125,650,65.69
1,9125,700,65.69
1,9125,750,65.69
1,10950,-400,64.27
1,10950,-350,64.27
1,10950,-300,64.27
1,10950,-250,64.27
1,10950,-200,64.27
1,10950,-150,64.27
1,10950,-100,64.27
1,10950,-80,64.27
1,10950,-60,64.27
1,10950,-40,64.27
1,10950,-30,64.27
1,10950,-20,64.27
1,10950,-10,64.27
1,10950,0,64.27
1,10950,10,64.27
1,10950,20,64.27
1,10950,30,64.27
1,10950,40,64.27
1,10950,60,64.27
1,10950,80,64.27
1,10950,100,64.27
1,10950,150,64.27
1,10950,200,64.27
1,10950,250,64.27
1,10950,300,64.27
1,10950,350,64.27
1,10950,400,64.27
1,10950,450,64.27
1,10950,500,64.27
1,10950,550,64.27
1,10950,600,64.27
1,10950,650,64.27
1,10950,700,64.27
1,10950,750,64.27
7,365,-250,35.34
7,365,-200,35.34
7,365,-150,35.34
7,365,-100,35.34
7,365,-80,35.34
7,365,-60,35.34
7,365,-40,35.34
7,365,-30,35.34
7,365,-20,35.34
7,365,-10,35.34
7,365,0,35.34
7,365,10,35.34
7,365,20,35.34
7,365,30,35.34
7,365,40,35.34
7,365,60,35.34
7,365,80,35.34
7,365,100,35.34
7,365,150,35.34
7,365,200,35.34
7,365,250,35.34
7,365,300,35.34
7,365,350,35.34
7,365,400,35.34
7,365,450,35.34
7,365,500,35.34
7,365,550,35.34
7,365,600,35.34
7,365,650,35.34
7,365,700,35.34
7,365,750,35.34
7,730,-300,47.85
7,730,-250,47.85
7,730,-200,47.85
7,730,-150,47.85
7,730,-100,47.85
7,730,-80,47.85
7,730,-60,47.85
7,730,-40,47.85
7,730,-30,47.85
7,730,-20,47.85
7,730,-10,47.85
7,730,0,46.4
7,730,10,50.33
7,730,20,50.33
7,730,30,50.33
7,730,40,50.33
7,730,60,50.33
7,730,80,50.33
7,730,100,50.33
7,730,150,50.33
7,730,200,50.33
7,730,250,50.33
7,730,300,50.33
7,730,350,50.33
7,730,400,50.33
7,730,450,50.33
7,730,500,50.33
7,730,550,50.33
7,730,600,50.33
7,730,650,50.33
7,730,700,50.33
7,730,750,50.33
7,1095,-300,60.26
7,1095,-250,60.26
7,1095,-200,60.26
7,1095,-150,60.26
7,1095,-100,60.26
7,1095,-80,60.26
7,1095,-60,60.26
7,1095,-40,60.26
7,1095,-30,60.26
7,1095,-20,60.26
7,1095,-10,60.26
7,1095,0,58.27
7,1095,10,65.01
7,1095,20,65.01
7,1095,30,65.01
7,1095,40,65.01
7,1095,60,65.01
7,1095,80,65.01
7,1095,100,65.01
7,1095,150,65.01
7,1095,200,65.01
7,1095,250,65.01
7,1095,300,65.01
7,1095,350,65.01
7,1095,400,65.01
7,1095,450,65.01
7,1095,500,65.01
7,1095,550,65.01
7,1095,600,65.01
7,1095,650,65.01
7,1095,700,65.01
7,1095,750,65.01
7,1460,-350,62.29
7,1460,-300,62.29
7,1460,-250,62.29
7,1460,-200,62.29
7,1460,-150,62.29
7,1460,-100,62.29
7,1460,-80,62.29
7,1460,-60,62.29
7,1460,-40,62.29
7,1460,-30,62.29
7,1460,-20,62.29
7,1460,-10,62.29
7,1460,0,67.23
7,1460,10,67.21
7,1460,20,67.21
7,1460,30,67.21
7,1460,40,67.21
7,1460,60,67.21
7,1460,80,67.21
7,1460,100,67.21
7,1460,150,67.21
7,1460,200,67.21
7,1460,250,67.21
7,1460,300,67.21
7,1460,350,67.21
7,1460,400,67.21
7,1460,450,67.21
7,1460,500,67.21
7,1460,550,67.21
7,1460,600,67.21
7,1460,650,67.21
7,1460,700,67.21
7,1460,750,67.21
7,1825,-350,71.34
7,1825,-300,71.34
7,1825,-250,71.34
7,1825,-200,71.34
7,1825,-150,71.34
7,1825,-100,71.34
7,1825,-80,71.34
7,1825,-60,71.34
7,1825,-40,71.34
7,1825,-30,71.34
7,1825,-20,71.34
7,1825,-10,71.34
7,1825,0,72.17
7,1825,10,69.35
7,1825,20,69.35
7,1825,30,69.35
7,1825,40,69.35
7,1825,60,69.35
7,1825,80,69.35
7,1825,100,69.35
7,1825,150,69.35
7,1825,200,69.35
7,1825,250,69.35
7,1825,300,69.35
7,1825,350,69.35
7,1825,400,69.35
7,1825,450,69.35
7,1825,500,69.35
7,1825,550,69.35
7,1825,600,69.35
7,1825,650,69.35
7,1825,700,69.35
7,1825,750,69.35
7,2190,-350,68.52
7,2190,-300,68.52
7,2190,-250,68.52
7,2190,-200,68.52
7,2190,-150,68.52
7,2190,-100,68.52
7,2190,-80,68.52
7,2190,-60,68.52
7,2190,-40,68.52
7,2190,-30,68.52
7,2190,-20,68.52
7,2190,-10,68.52
7,2190,0,69.14
7,2190,10,66.88
7,2190,20,66.88
7,2190,30,66.88
7,2190,40,66.88
7,2190,60,66.88
7,2190,80,66.88
7,2190,100,66.88
7,2190,150,66.88
7,2190,200,66.88
7,2190,250,66.88
7,2190,300,66.88
7,2190,350,66.88
7,2190,400,66.88
7,2190,450,66.88
7,2190,500,66.88
7,2190,550,66.88
7,2190,600,66.88
7,2190,650,66.88
7,2190,700,66.88
7,2190,750,66.88
7,2555,-350,71.44
7,2555,-300,71.44
7,2555,-250,71.44
7,2555,-200,71.44
7,2555,-150,71.44
7,2555,-100,71.44
7,2555,-80,71.44
7,2555,-60,71.44
7,2555,-40,71.44
7,2555,-30,71.44
7,2555,-20,71.44
7,2555,-10,71.44
7,2555,0,71.94
7,2555,10,73.76
7,2555,20,73.76
7,2555,30,73.76
7,2555,40,73.76
7,2555,60,73.76
7,2555,80,73.76
7,2555,100,73.76
7,2555,150,73.76
7,2555,200,73.76
7,2555,250,73.76
7,2555,300,73.76
7,2555,350,73.76
7,2555,400,73.76
7,2555,450,73.76
7,2555,500,73.76
7,2555,550,73.76
7,2555,600,73.76
7,2555,650,73.76
7,2555,700,73.76
7,2555,750,73.76
7,2920,-350,70.82
7,2920,-300,70.82
7,2920,-250,70.82
7,2920,-200,70.82
7,2920,-150,70.82
7,2920,-100,70.82
7,2920,-80,70.82
7,2920,-60,70.82
7,2920,-40,70.82
7,2920,-30,70.82
7,2920,-20,70.82
7,2920,-10,70.82
7,2920,0,65.5
7,2920,10,69.89
7,2920,20,69.89
7,2920,30,69.89
7,2920,40,69.89
7,2920,60,69.89
7,2920,80,69.89
7,2920,100,69.89
7,2920,150,69.89
7,2920,200,69.89
7,2920,250,69.89
7,2920,300,69.89
7,2920,350,69.89
7,2920,400,69.89
7,2920,450,69.89
7,2920,500,69.89
7,2920,550,69.89
7,2920,600,69.89
7,2920,650,69.89
7,2920,700,69.89
7,2920,750,69.89
7,3285,-350,68.03
7,3285,-300,68.03
7,3285,-250,68.03
7,3285,-200,68.03
7,3285,-150,68.03
7,3285,-100,68.03
7,3285,-80,68.03
7,3285,-60,68.03
7,3285,-40,68.03
7,3285,-30,68.03
7,3285,-20,68.03
7,3285,-10,68.03
7,3285,0,67.36
7,3285,10,69.41
7,3285,20,69.41
7,3285,30,69.41
7,3285,40,69.41
7,3285,60,69.41
7,3285,80,69.41
7,3285,100,69.41
7,3285,150,69.41
7,3285,200,69.41
7,3285,250,69.41
7,3285,300,69.41
7,3285,350,69.41
7,3285,400,69.41
7,3285,450,69.41
7,3285,500,69.41
7,3285,550,69.41
7,3285,600,69.41
7,3285,650,69.41
7,3285,700,69.41
7,3285,750,69.41
7,3650,-350,75.44
7,3650,-300,75.44
7,3650,-250,75.44
7,3650,-200,75.44
7,3650,-150,75.44
7,3650,-100,75.44
7,3650,-80,75.44
7,3650,-60,75.44
7,3650,-40,75.44
7,3650,-30,75.44
7,3650,-20,75.44
7,3650,-10,75.44
7,3650,0,70.88
7,3650,10,66.13
7,3650,20,66.13
7,3650,30,66.13
7,3650,40,66.13
7,3650,60,66.13
7,3650,80,66.13
7,3650,100,66.13
7,3650,150,66.13
7,3650,200,66.13
7,3650,250,66.13
7,3650,300,66.13
7,3650,350,66.13
7,3650,400,66.13
7,3650,450,66.13
7,3650,500,66.13
7,3650,550,66.13
7,3650,600,66.13
7,3650,650,66.13
7,3650,700,66.13
7,3650,750,66.13
7,4380,-400,65.76
7,4380,-350,65.76
7,4380,-300,65.76
7,4380,-250,65.76
7,4380,-200,65.76
7,4380,-150,65.76
7,4380,-100,65.76
7,4380,-80,65.76
7,4380,-60,65.76
7,4380,-40,65.76
7,4380,-30,65.76
7,4380,-20,65.76
7,4380,-10,65.76
7,4380,0,69.92
7,4380,10,67.64
7,4380,20,67.64
7,4380,30,67.64
7,4380,40,67.64
7,4380,60,67.64
7,4380,80,67.64
7,4380,100,67.64
7,4380,150,67.64
7,4380,200,67.64
7,4380,250,67.64
7,4380,300,67.64
7,4380,350,67.64
7,4380,400,67.64
7,4380,450,67.64
7,4380,500,67.64
7,4380,550,67.64
7,4380,600,67.64
7,4380,650,67.64
7,4380,700,67.64
7,4380,750,67.64
7,5475,-400,68.13
7,5475,-350,68.13
7,5475,-300,68.13
7,5475,-250,68.13
7,5475,-200,68.13
7,5475,-150,68.13
7,5475,-100,68.13
7,5475,-80,68.13
7,5475,-60,68.13
7,5475,-40,68.13
7,5475,-30,68.13
7,5475,-20,68.13
7,5475,-10,68.13
7,5475,0,68.57
7,5475,10,68.05
7,5475,20,68.05
7,5475,30,68.05
7,5475,40,68.05
7,5475,60,68.05
7,5475,80,68.05
7,5475,100,68.05
7,5475,150,68.05
7,5475,200,68.05
7,5475,250,68.05
7,5475,300,68.05
7,5475,350,68.05
7,5475,400,68.05
7,5475,450,68.05
7,5475,500,68.05
7,5475,550,68.05
7,5475,600,68.05
7,5475,650,68.05
7,5475,700,68.05
7,5475,750,68.05
7,7300,-400,66.65
7,7300,-350,66.65
7,7300,-300,66.65
7,7300,-250,66.65
7,7300,-200,66.65
7,7300,-150,66.65
7,7300,-100,66.65
7,7300,-80,66.65
7,7300,-60,66.65
7,7300,-40,66.65
7,7300,-30,66.65
7,7300,-20,66.65
7,7300,-10,66.65
7,7300,0,67.84
7,7300,10,72.11
7,7300,20,72.11
7,7300,30,72.11
7,7300,40,72.11
7,7300,60,72.11
7,7300,80,72.11
7,7300,100,72.11
7,7300,150,72.11
7,7300,200,72.11
7,7300,250,72.11
7,7300,300,72.11
7,7300,350,72.11
7,7300,400,72.11
7,7300,450,72.11
7,7300,500,72.11
7,7300,550,72.11
7,7300,600,72.11
7,7300,650,72.11
7,7300,700,72.11
7,7300,750,72.11
7,9125,-400,65.52
7,9125,-350,65.52
7,9125,-300,65.52
7,9125,-250,65.52
7,9125,-200,65.52
7,9125,-150,65.52
7,9125,-100,65.52
7,9125,-80,65.52
7,9125,-60,65.52
7,9125,-40,65.52
7,9125,-30,65.52
7,9125,-20,65.52
7,9125,-10,65.52
7,9125,0,67.0
7,9125,10,64.93
7,9125,20,64.93
7,9125,30,64.93
7,9125,40,64.93
7,9125,60,64.93
7,9125,80,64.93
7,9125,100,64.93
7,9125,150,64.93
7,9125,200,64.93
7,9125,250,64.93
7,9125,300,64.93
7,9125,350,64.93
7,9125,400,64.93
7,9125,450,64.93
7,9125,500,64.93
7,9125,550,64.93
7,9125,600,64.93
7,9125,650,64.93
7,9125,700,64.93
7,9125,750,64.93
7,10950,-400,70.8
7,10950,-350,70.8
7,10950,-300,70.8
7,10950,-250,70.8
7,10950,-200,70.8
7,10950,-150,70.8
7,10950,-100,70.8
7,10950,-80,70.8
7,10950,-60,70.8
7,10950,-40,70.8
7,10950,-30,70.8
7,10950,-20,70.8
7,10950,-10,70.8
7,10950,0,66.26
7,10950,10,57.54
7,10950,20,57.54
7,10950,30,57.54
7,10950,40,57.54
7,10950,60,57.54
7,10950,80,57.54
7,10950,100,57.54
7,10950,150,57.54
7,10950,200,57.54
7,10950,250,57.54
7,10950,300,57.54
7,10950,350,57.54
7,10950,400,57.54
7,10950,450,57.54
7,10950,500,57.54
7,10950,550,57.54
7,10950,600,57.54
7,10950,650,57.54
7,10950,700,57.54
7,10950,750,57.54
14,365,-250,32.85
14,365,-200,32.85
14,365,-150,32.85
14,365,-100,32.85
14,365,-80,32.85
14,365,-60,32.85
14,365,-40,32.85
14,365,-30,32.85
14,365,-20,32.85
14,365,-10,32.85
14,365,0,32.85
14,365,10,35.22
14,365,20,35.22
14,365,30,35.22
14,365,40,35.22
14,365,60,35.22
14,365,80,35.22
14,365,100,35.22
14,365,150,35.22
14,365,200,35.22
14,365,250,35.22
14,365,300,35.22
14,365,350,35.22
14,365,400,35.22
14,365,450,35.22
14,365,500,35.22
14,365,550,35.22
14,365,600,35.22
14,365,650,35.22
14,365,700,35.22
14,365,750,35.22
14,730,-300,50.2
14,730,-250,50.2
14,730,-200,50.2
14,730,-150,50.2
14,730,-100,50.2
14,730,-80,50.2
14,730,-60,50.2
14,730,-40,50.2
14,730,-30,50.2
14,730,-20,50.2
14,730,-10,50.2
14,730,0,44.18
14,730,10,51.7
14,730,20,51.7
14,730,30,51.7
14,730,40,51.7
14,730,60,51.7
14,730,80,51.7
14,730,100,51.7
14,730,150,51.7
14,730,200,51.7
14,730,250,51.7
14,730,300,51.7
14,730,350,51.7
14,730,400,51.7
14,730,450,51.7
14,730,500,51.7
14,730,550,51.7
14,730,600,51.7
14,730,650,51.7
14,730,700,51.7
14,730,750,51.7
14,1095,-300,51.55
14,1095,-250,51.55
14,1095,-200,51.55
14,1095,-150,51.55
14,1095,-100,51.55
14,1095,-80,51.55
14,1095,-60,51.55
14,1095,-40,51.55
14,1095,-30,51.55
14,1095,-20,51.55
14,1095,-10,51.55
14,1095,0,55.28
14,1095,10,56.37
14,1095,20,56.37
14,1095,30,56.37
14,1095,40,56.37
14,1095,60,56.37
14,1095,80,56.37
14,1095,100,56.37
14,1095,150,56.37
14,1095,200,56.37
14,1095,250,56.37
14,1095,300,56.37
14,1095,350,56.37
14,1095,400,56.37
14,1095,450,56.37
14,1095,500,56.37
14,1095,550,56.37
14,1095,600,56.37
14,1095,650,56.37
14,1095,700,56.37
14,1095,750,56.37
14,1460,-350,62.67
14,1460,-300,62.67
14,1460,-250,62.67
14,1460,-200,62.67
14,1460,-150,62.67
14,1460,-100,62.67
14,1460,-80,62.67
14,1460,-60,62.67
14,1460,-40,62.67
14,1460,-30,62.67
14,1460,-20,62.67
14,1460,-10,64.4
14,1460,0,60.37
14,1460,10,65.22
14,1460,20,63.48
14,1460,30,63.48
14,1460,40,63.48
14,1460,60,63.48
14,1460,80,63.48
14,1460,100,63.48
14,1460,150,63.48
14,1460,200,63.48
14,1460,250,63.48
14,1460,300,63.48
14,1460,350,63.48
14,1460,400,63.48
14,1460,450,63.48
14,1460,500,63.48
14,1460,550,63.48
14,1460,600,63.48
14,1460,650,63.48
14,1460,700,63.48
14,1460,750,63.48
14,1825,-350,66.63
14,1825,-300,66.63
14,1825,-250,66.63
14,1825,-200,66.63
14,1825,-150,66.63
14,1825,-100,66.63
14,1825,-80,66.63
14,1825,-60,66.63
14,1825,-40,66.63
14,1825,-30,66.63
14,1825,-20,66.63
14,1825,-10,70.14
14,1825,0,67.96
14,1825,10,73.32
14,1825,20,73.46
14,1825,30,73.46
14,1825,40,73.46
14,1825,60,73.46
14,1825,80,73.46
14,1825,100,73.46
14,1825,150,73.46
14,1825,200,73.46
14,1825,250,73.46
14,1825,300,73.46
14,1825,350,73.46
14,1825,400,73.46
14,1825,450,73.46
14,1825,500,73.46
14,1825,550,73.46
14,1825,600,73.46
14,1825,650,73.46
14,1825,700,73.46
14,1825,750,73.46
14,2190,-350,67.61
14,2190,-300,67.61
14,2190,-250,67.61
14,2190,-200,67.61
14,2190,-150,67.61
14,2190,-100,67.61
14,2190,-80,67.61
14,2190,-60,67.61
14,2190,-40,67.61
14,2190,-30,67.61
14,2190,-20,67.61
14,2190,-10,67.62
14,2190,0,66.58
14,2190,10,71.48
14,2190,20,71.69
14,2190,30,71.69
14,2190,40,71.69
14,2190,60,71.69
14,2190,80,71.69
14,2190,100,71.69
14,2190,150,71.69
14,2190,200,71.69
14,2190,250,71.69
14,2190,300,71.69
14,2190,350,71.69
14,2190,400,71.69
14,2190,450,71.69
14,2190,500,71.69
14,2190,550,71.69
14,2190,600,71.69
14,2190,650,71.69
14,2190,700,71.69
14,2190,750,71.69
14,2555,-350,72.44
14,2555,-300,72.44
14,2555,-250,72.44
14,2555,-200,72.44
14,2555,-150,72.44
14,2555,-100,72.44
14,2555,-80,72.44
14,2555,-60,72.44
14,2555,-40,72.44
14,2555,-30,72.44
14,2555,-20,72.44
14,2555,-10,70.69
14,2555,0,70.4
14,2555,10,71.26
14,2555,20,72.42
14,2555,30,72.42
14,2555,40,72.42
14,2555,60,72.42
14,2555,80,72.42
14,2555,100,72.42
14,2555,150,72.42
14,2555,200,72.42
14,2555,250,72.42
14,2555,300,72.42
14,2555,350,72.42
14,2555,400,72.42
14,2555,450,72.42
14,2555,500,72.42
14,2555,550,72.42
14,2555,600,72.42
14,2555,650,72.42
14,2555,700,72.42
14,2555,750,72.42
14,2920,-350,72.11
14,2920,-300,72.11
14,2920,-250,72.11
14,2920,-200,72.11
14,2920,-150,72.11
14,2920,-100,72.11
14,2920,-80,72.11
14,2920,-60,72.11
14,2920,-40,72.11
14,2920,-30,72.11
14,2920,-20,72.11
14,2920,-10,70.01
14,2920,0,66.29
14,2920,10,67.2
14,2920,20,64.84
14,2920,30,64.84
14,2920,40,64.84
14,2920,60,64.84
14,2920,80,64.84
14,2920,100,64.84
14,2920,150,64.84
14,2920,200,64.84
14,2920,250,64.84
14,2920,300,64.84
14,2920,350,64.84
